Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C18, C19, C2, C20, C21, C23, C3, C4, C7, C8, C9",0603,15,0.1uF,
C11,0603,1,10uF,
"C14, C15",0603,2,0.47uF,
"C16, C17",0603,2,36pF,
C22,C_Elec_6.3x7.7,1,100uF,
"C5, C6",0603,2,0.01uF,
"D2, D3",0603,2,LED-R,
D4,0603,1,LED-B,
D5,0603,1,LED-G,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
J1,AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal,1,OUT1,
J10,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,I2C,
J11,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,1,SWD,
J2,AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal,1,OUT2,
J3,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,Encoder1,
J4,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,Encoder2,
J5,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,PWR-OUT,
J6,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,PWR-IN,
J7,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,CAN,
J9,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,UART,
"R1, R2, R3, R4",1206,4,0.01R,
"R10, R11, R16, R9",0603,4,10kR,
"R12, R14",0603,2,10kΩ,
"R13, R15",0603,2,2kΩ,
R8,0603,1,120R,
SW1,SW_DIP_SPSTx04_Slide_KingTek_DSHP04TS_W7.62mm_P1.27mm,1,SW_DIP_x04,
SW2,SW-SMD_L3.9-W3.0-P4.45,1,Switch-Stand,
"U1, U2, U3, U4",TSSOP-8_4.4x3mm_P0.65mm,4,INA240A2PW,
U5,LQFP-48_7X7X05P,1,STM32F103C8T6,
"U6, U7",HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP,2,DRV8313PWPR,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,
Y1,Crystal_SMD_Qantek_QC5CB-2Pin_5x3.2mm,1,8MHz 20pF,
